,nombre,precio,tipo,enlace,modelo,an,brand,prices.amountMax,prices.amountMin,prices.isSale
76,Nike Court Vision Alta,75,Calzado para mujer,https://www.nike.com/us/es/t/calzado-court-vision-alta-k5tLbc/CW6536-101,court tennis,2021,nike,75.0,75.0,False
77,Nike Blazer Low '77 Vintage,85,Calzado para hombre,https://www.nike.com/us/es/t/calzado-blazer-low-77-vintage-jsksCM/DA6364-101,others,2021,nike,85.0,85.0,False
78,Nike Mercurial Vapor 14 Pro TF,120,Calzado de fútbol para pasto sintético (turf),https://www.nike.com/us/es/t/calzado-de-fútbol-para-pasto-sintético-turf-mercurial-vapor-14-pro-tf-P2H6rn/CV1001-574,others,2021,nike,120.0,120.0,False
79,Nike Mercurial Superfly 8 Academy IC,85,Calzado de fútbol para cancha cubierta,https://www.nike.com/us/es/t/calzado-de-fútbol-para-cancha-cubierta-mercurial-superfly-8-academy-ic-72BdD5/CV0847-474,others,2021,nike,85.0,85.0,False
80,Nike Air Zoom Pegasus 38 Premium,130,Calzado de running de carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-de-carretera-air-zoom-pegasus-38-premium-XPk1jg/DC8796-400,pegasus,2021,nike,130.0,130.0,False
81,Nike Mercurial Superfly 8 Elite FG,275,Calzado de fútbol para terreno firme,https://www.nike.com/us/es/t/calzado-de-fútbol-para-terreno-firme-mercurial-superfly-8-elite-fg-DBtHQg/CV0958-574,others,2021,nike,275.0,275.0,False
82,Nike Phantom GT2 Academy MG,80,Calzado de fútbol para terrenos múltiples,https://www.nike.com/us/es/t/calzado-de-fútbol-para-superficies-múltiples-phantom-gt2-academy-mg-m8tRS8/DA4433-570,others,2021,nike,80.0,80.0,False
83,Nike Mercurial Superfly 8 Academy MG,85,Calzado de fútbol para múltiples superficies,https://www.nike.com/us/es/t/calzado-de-fútbol-para-múltiples-superficies-mercurial-superfly-8-academy-mg-pbJFG6/CV0843-574,others,2021,nike,85.0,85.0,False
84,Nike Mercurial Vapor 14 Elite FG,250,Calzado de fútbol para terreno firme,https://www.nike.com/us/es/t/calzado-de-fútbol-para-terreno-firme-mercurial-vapor-14-elite-fg-mcqZFs/CQ7635-574,others,2021,nike,250.0,250.0,False
85,Nike Mercurial Vapor 14 Academy IC,80,Calzado de fútbol para cancha cubierta,https://www.nike.com/us/es/t/calzado-de-fútbol-para-cancha-cubierta-mercurial-vapor-14-academy-ic-9xzhz8/CV0973-474,others,2021,nike,80.0,80.0,False
86,Nike Phantom GT2 Academy Dynamic Fit MG,85,Calzado de fútbol para terrenos múltiples,https://www.nike.com/us/es/t/calzado-de-fútbol-para-terrenos-múltiples-phantom-gt2-academy-dynamic-fit-mg-rwRt6t/DC0797-570,others,2021,nike,85.0,85.0,False
87,Nike Mercurial Vapor 14 Academy FG/MG,80,Calzado de fútbol para terrenos múltiples,https://www.nike.com/us/es/t/calzado-de-fútbol-para-terrenos-múltiples-mercurial-vapor-14-academy-fg-mg-KmD9VG/CU5691-474,others,2021,nike,80.0,80.0,False
88,Air Jordan 1 Low,100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-jordan-1-low-Bz4GT4/DC0774-700,others,2021,nike,100.0,100.0,False
89,Nike Phantom GT2 Elite FG,250,Calzado de fútbol para terreno firme,https://www.nike.com/us/es/t/calzado-de-fútbol-para-terreno-firme-phantom-gt2-elite-fg-3R4rBc/CZ9890-570,others,2021,nike,250.0,250.0,False
90,Nike Phantom GT2 Dynamic Fit Elite FG,275,Calzado de fútbol para terreno firme,https://www.nike.com/us/es/t/calzado-de-fútbol-para-terreno-firme-phantom-gt2-dynamic-fit-elite-fg-nJ0JNl/CZ9889-570,others,2021,nike,275.0,275.0,False
91,Nike Phantom GT2 Academy Dynamic Fit IC,85,Calzado de fútbol para cancha cubierta,https://www.nike.com/us/es/t/calzado-de-fútbol-para-cancha-cubierta-phantom-gt2-academy-dynamic-fit-ic-g5fcNL/DC0800-570,others,2021,nike,85.0,85.0,False
92,Nike Air Force 1 '07 LX,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-07-60-GlbstN/CZ0268-300,others,2021,nike,110.0,110.0,False
93,Nike Air Max Up,97.97$130,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-max-up-bL7qtj/CW5346-600,air max,2021,nike,130.0,97.97,False
94,Nike Air Force 1 Fontanka,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-fontanka-lJSqnB/DA7024-200,others,2021,nike,110.0,110.0,False
95,Nike Ryz 365 2,85,Calzado para mujer,https://www.nike.com/us/es/t/calzado-ryz-365-2-RHv33t/CU4874-600,others,2021,nike,85.0,85.0,False
96,Nike Court Royale 2 Mid,65,Calzado para mujer,https://www.nike.com/us/es/t/calzado-court-royale-2-mid-1l5Mn7/CT1725-100,court tennis,2021,nike,65.0,65.0,False
97,Nike Air Max Excee,58.97$90,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-max-excee-jKsgMj/DD2955-100,air max,2021,nike,90.0,58.97,True
98,Nike Pegasus Trail 3,140,Calzado de trail running para mujer,https://www.nike.com/us/es/t/calzado-de-carreras-de-sendero-pegasus-trail-3-6GFhGQ/DM9468-600,others,2021,nike,140.0,140.0,False
99,Nike Legend Essential 2,43.97$60,Calzado de entrenamiento para mujer,https://www.nike.com/us/es/t/calzado-de-entrenamiento-legend-essential-2-3dXtxx/CQ9545-100,others,2021,nike,60.0,43.97,True
100,Nike In-Season TR 9,59.97$75,Calzado de entrenamiento para mujer,https://www.nike.com/us/es/t/calzado-de-entrenamiento-in-season-tr-9-F6MRbL/AR4543-008,in-season,2021,nike,75.0,59.97,True
101,Nike Waffle Racer 2X,64.97$100,Calzado para mujer,https://www.nike.com/us/es/t/calzado-waffle-racer-2x-bGtrwj/CK6647-004,racing,2021,nike,100.0,64.97,False
102,Nike Mercurial Superfly 8 Academy KM MG,90,Calzado de fútbol para terrenos múltiples,https://www.nike.com/us/es/t/calzado-de-fútbol-para-terrenos-múltiples-mercurial-superfly-8-academy-km-mg-pJ5M76/DB2857-506,others,2021,nike,90.0,90.0,False
103,Nike Court Vision Alta,75,Calzado para mujer,https://www.nike.com/us/es/t/calzado-court-vision-alta-NbRjhw/DM0113-100,court tennis,2021,nike,75.0,75.0,False
104,Nike Zoom Double Stacked,207.97$230,Calzado para mujer,https://www.nike.com/us/es/t/calzado-zoom-double-stacked-vS5slG/CV8474-300,others,2021,nike,230.0,207.97,True
105,Nike SB Zoom Stefan Janoski RM,85,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-zoom-stefan-janoski-rm-fCvbQF/AQ7475-001,sb skate,2021,nike,85.0,85.0,False
106,Nike SB Zoom Blazer Mid,85,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-zoom-blazer-mid-qX3MZV/864349-108,sb skate,2021,nike,85.0,85.0,False
107,Nike SB Nyjah Free 2,95,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-nyjah-free-2-s4Kt9q/BV2078-105,sb skate,2021,nike,95.0,95.0,False
108,Nike SB Nyjah Free 2 Premium,105,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-nyjah-free-2-premium-4dl2wl/DC9104-400,sb skate,2021,nike,105.0,105.0,False
109,Jordan NOLA,27.97$40,Chancla para mujer,https://www.nike.com/us/es/t/chancla-jordan-nola-cJKqWN/CZ8027-100,others,2021,nike,40.0,27.97,True
110,Nike SB Chron 2 Slip,60,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-chron-2-slip-qxwqcz/DM3495-400,sb skate,2021,nike,60.0,60.0,False
111,Jordan Air NFH,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-jordan-air-nfh-8zz3VW/DA1165-006,others,2021,nike,110.0,110.0,False
112,Nike Alpha Huarache Elite 3 Turf,80,Calzado de béisbol,https://www.nike.com/us/es/t/calzado-de-béisbol-alpha-huarache-elite-3-turf-6qKCXQ/CV3560-104,others,2021,nike,80.0,80.0,False
113,Nike Air Zoom Victory Tour 2,180,Calzado de golf,https://www.nike.com/us/es/t/calzado-de-golf-air-zoom-victory-tour-2-QNxK3G/CW8155-002,others,2021,nike,180.0,180.0,False
114,LeBron Witness 5,100,Calzado de básquetbol,https://www.nike.com/us/es/t/calzado-de-básquetbol-lebron-witness-5-XJrPgC/CQ9380-001,others,2021,nike,100.0,100.0,False
115,Nike Roshe G,80,Calzado de golf para mujer,https://www.nike.com/us/es/t/calzado-de-golf-roshe-g-7dFSmR/CD6066-400,others,2021,nike,80.0,80.0,False
116,Nike Downshifter 10,54.97$60,Calzado de running en carretera para mujer,https://www.nike.com/us/es/t/calzado-de-running-para-carretera-downshifter-10-XwSDQS/CI9984-600,others,2021,nike,60.0,54.97,True
117,Air Jordan 1 Centre Court,135,Calzado,https://www.nike.com/us/es/t/calzado-air-jordan-1-centre-court-54L4sP/DJ2756-100,court tennis,2021,nike,135.0,135.0,False
118,Nike SB Force 58,75,Calzado de skateboarding,https://www.nike.com/us/es/t/calzado-de-skateboarding-sb-force-58-Fslk1b/CZ2959-002,sb skate,2021,nike,75.0,75.0,False
119,Nike Phantom GT2 Academy IC,80,Calzado de fútbol para cancha cubierta,https://www.nike.com/us/es/t/calzado-de-fútbol-para-cancha-cubierta-phantom-gt2-academy-ic-mFLs4k/DC0765-415,others,2021,nike,80.0,80.0,False
120,Nike AD Comfort,65,Calzado para mujer,https://www.nike.com/us/es/t/calzado-ad-comfort-HHVMSX/DJ1001-003,others,2021,nike,65.0,65.0,False
121,Nike Phantom GT Academy 3D IC,72.97$80,Calzado de fútbol para cancha cubierta,https://www.nike.com/us/es/t/calzado-de-fútbol-para-cancha-cubierta-phantom-gt-academy-3d-ic-m3kBlX/CZ3445-467,others,2021,nike,80.0,72.97,True
122,Nike Air Force 1 Fontanka,110,Calzado para mujer,https://www.nike.com/us/es/t/calzado-air-force-1-fontanka-1cv7rP/DO6719-100,others,2021,nike,110.0,110.0,False
123,KD Trey 5 VIII,84.97$90,Calzado de básquetbol,https://www.nike.com/us/es/t/calzado-de-básquetbol-kd-trey-5-8-V8GMDr/CK2090-101,others,2021,nike,90.0,84.97,True
