,an,brand,modelo,prices.amountMax,prices.amountMin,prices.isSale
8509,2018,nike,in-season,75.0,69.99,False
8510,2018,nike,in-season,75.0,56.25,False
8511,2018,nike,in-season,75.0,56.25,False
8512,2018,nike,in-season,75.0,69.99,False
8513,2018,nike,in-season,75.0,75.0,False
8514,2018,nike,in-season,75.0,69.99,False
8515,2018,nike,in-season,75.0,56.25,False
8516,2018,nike,in-season,75.0,75.0,False
8517,2018,nike,in-season,75.0,56.25,False
8518,2018,nike,in-season,75.0,56.25,False
8519,2018,nike,in-season,75.0,56.25,False
8520,2018,nike,in-season,75.0,64.99,False
8521,2018,nike,in-season,75.0,56.25,False
8522,2018,nike,in-season,75.0,56.25,False
8523,2018,nike,in-season,75.0,52.5,False
8524,2018,nike,in-season,75.0,64.99,False
8525,2018,nike,in-season,75.0,56.25,False
8526,2018,nike,in-season,75.0,56.25,False
8527,2018,nike,in-season,75.0,56.25,False
8528,2018,nike,in-season,75.0,75.0,False
8529,2018,nike,in-season,75.0,64.99,False
8530,2018,nike,in-season,75.0,56.25,False
8531,2018,nike,in-season,75.0,64.99,False
8532,2018,nike,in-season,75.0,56.25,False
8533,2018,nike,in-season,75.0,75.0,False
8534,2018,nike,in-season,75.0,56.25,False
8535,2018,nike,in-season,75.0,75.0,False
8536,2018,nike,in-season,75.0,56.25,False
8537,2018,nike,in-season,75.0,64.99,False
8538,2018,nike,in-season,75.0,56.25,False
8539,2018,nike,in-season,75.0,64.99,False
8540,2018,nike,in-season,75.0,64.99,False
8541,2018,nike,in-season,75.0,64.99,False
8542,2018,nike,in-season,75.0,64.99,False
8543,2018,nike,in-season,75.0,56.25,False
8544,2018,nike,in-season,75.0,75.0,False
8545,2018,nike,in-season,75.0,75.0,False
8546,2018,nike,in-season,75.0,75.0,False
8547,2018,nike,others,65.0,54.99,False
8548,2018,nike,others,65.0,54.99,False
8549,2018,nike,others,65.0,54.99,False
8550,2018,nike,others,65.0,48.75,False
8551,2018,nike,others,65.0,54.99,False
8552,2018,nike,others,65.0,54.99,False
8553,2018,nike,others,65.0,54.99,False
8554,2018,nike,others,65.0,65.0,False
